Date,Time,Total_trips_from_LGA,Total_trips_to_LGA,5min_saved_time_pickup,5min_saved_rides_pickup,5min_saved_time_dropoff,5min_saved_rides_dropoff,5min_av_per_saved_time_pickup,5min_av_per_saved_rides_pickup,5min_av_per_saved_time_dropoff,5min_av_per_saved_rides_dropoff,5min_av_computation_time_pickup,5min_av_computation_time_dropoff,10min_saved_time_pickup,10min_saved_rides_pickup,10min_saved_time_dropoff,10min_saved_rides_dropoff,10min_av_per_saved_time_pickup,10min_av_per_saved_rides_pickup,10min_av_per_saved_time_dropoff,10min_av_per_saved_rides_dropoff,10min_av_computation_time_pickup,10min_av_computation_time_dropoff
2016-04-11,00:00:00,11163,4484,38969.0000,3766,13523.0000,1302,0.3076,0.3374,0.2733,0.2904,0.0181,0.0079,44581.0000,4282,16615.0000,1590,0.3519,0.3836,0.3358,0.3546,0.0512,0.0138
2016-04-12,00:00:00,9269,4126,30990.0000,2996,12661.0000,1214,0.2957,0.3232,0.2800,0.2942,0.0147,0.0077,35950.0000,3449,15279.0000,1454,0.3430,0.3721,0.3379,0.3524,0.0368,0.0129
2016-04-13,00:00:00,9380,5071,31454.0000,3060,16715.0000,1592,0.2992,0.3262,0.2995,0.3139,0.0149,0.0087,36249.0000,3511,19828.0000,1864,0.3449,0.3743,0.3552,0.3676,0.0374,0.0169
2016-04-14,00:00:00,10366,6086,35755.0000,3488,22076.0000,2067,0.3077,0.3365,0.3232,0.3396,0.0165,0.0144,40872.0000,3976,25195.0000,2349,0.3518,0.3836,0.3688,0.3860,0.0625,0.0322
2016-04-15,00:00:00,9668,5739,31163.0000,3069,19917.0000,1865,0.2849,0.3174,0.3082,0.3250,0.0231,0.0144,36362.0000,3551,23269.0000,2176,0.3324,0.3673,0.3601,0.3792,0.0533,0.0285
2016-04-16,00:00:00,4648,2743,11013.0000,1127,6503.0000,643,0.2115,0.2425,0.2172,0.2344,0.0147,0.0103,14070.0000,1414,8356.0000,820,0.2703,0.3042,0.2791,0.2989,0.0230,0.0145
2016-04-17,00:00:00,9664,5631,31031.0000,3069,18469.0000,1776,0.2848,0.3176,0.2988,0.3154,0.0253,0.0148,36795.0000,3606,21819.0000,2086,0.3377,0.3731,0.3530,0.3704,0.0594,0.0292
2016-04-18,00:00:00,11298,5060,39308.0000,3781,16066.0000,1545,0.3068,0.3347,0.2909,0.3053,0.0305,0.0140,45045.0000,4315,19212.0000,1844,0.3515,0.3819,0.3479,0.3644,0.0714,0.0234
2016-04-19,00:00:00,9604,4246,31831.0000,3101,13565.0000,1282,0.2951,0.3229,0.2907,0.3019,0.0244,0.0126,37062.0000,3593,16234.0000,1532,0.3436,0.3741,0.3479,0.3608,0.0576,0.0203
2016-04-20,00:00:00,9349,5258,31169.0000,3048,17673.0000,1669,0.2959,0.3260,0.3013,0.3174,0.0231,0.0151,36046.0000,3494,20984.0000,1971,0.3422,0.3737,0.3577,0.3749,0.0548,0.0259
2016-04-21,00:00:00,9359,6007,30265.0000,2982,21406.0000,2010,0.2870,0.3186,0.3187,0.3346,0.0231,0.0156,35358.0000,3470,24688.0000,2305,0.3353,0.3708,0.3675,0.3837,0.0525,0.0370
2016-04-22,00:00:00,8897,5850,27471.0000,2745,20039.0000,1892,0.2753,0.3085,0.3051,0.3234,0.0237,0.0152,32077.0000,3192,23501.0000,2214,0.3214,0.3588,0.3578,0.3785,0.0472,0.0282
2016-04-23,00:00:00,4314,2182,10344.0000,1066,4650.0000,458,0.2133,0.2471,0.1948,0.2099,0.0132,0.0093,12865.0000,1312,6228.0000,611,0.2653,0.3041,0.2610,0.2800,0.0229,0.0124
2016-04-24,00:00:00,9817,4269,31373.0000,3127,13091.0000,1255,0.2839,0.3185,0.2770,0.2940,0.0254,0.0128,36424.0000,3601,15678.0000,1500,0.3296,0.3668,0.3317,0.3514,0.0632,0.0202
2016-04-25,00:00:00,11408,4584,39691.0000,3844,14248.0000,1362,0.3066,0.3370,0.2827,0.2971,0.0272,0.0136,45652.0000,4400,17145.0000,1640,0.3527,0.3857,0.3401,0.3578,0.0733,0.0215
2016-04-26,00:00:00,9285,4194,30531.0000,2976,13234.0000,1255,0.2911,0.3205,0.2852,0.2992,0.0231,0.0126,35559.0000,3441,16249.0000,1527,0.3391,0.3706,0.3502,0.3641,0.0558,0.0202
2016-04-27,00:00:00,10067,4905,32494.0000,3201,16588.0000,1568,0.2863,0.3180,0.3041,0.3197,0.0242,0.0139,38220.0000,3718,19340.0000,1825,0.3367,0.3693,0.3546,0.3721,0.0582,0.0250
2016-04-28,00:00:00,10314,5971,33486.0000,3335,20937.0000,1971,0.2901,0.3233,0.3152,0.3301,0.0277,0.0167,39005.0000,3846,24292.0000,2277,0.3379,0.3729,0.3658,0.3813,0.0619,0.0311
2016-04-29,00:00:00,9389,5326,28499.0000,2859,17964.0000,1713,0.2689,0.3045,0.3020,0.3216,0.0244,0.0140,33841.0000,3362,21018.0000,1992,0.3192,0.3581,0.3534,0.3740,0.0850,0.0353
2016-04-30,00:00:00,5192,2403,11886.0000,1227,5533.0000,549,0.2037,0.2363,0.2114,0.2285,0.0158,0.0098,15235.0000,1563,7345.0000,719,0.2611,0.3010,0.2806,0.2992,0.0269,0.0147
2016-05-01,00:00:00,9764,4665,30005.0000,3002,14707.0000,1436,0.2722,0.3075,0.2878,0.3078,0.0255,0.0133,35553.0000,3531,17295.0000,1672,0.3225,0.3616,0.3385,0.3584,0.0562,0.0227
2016-05-02,00:00:00,12462,4296,43583.0000,4220,12646.0000,1228,0.3077,0.3386,0.2667,0.2858,0.0298,0.0124,49353.0000,4749,15555.0000,1500,0.3484,0.3811,0.3280,0.3492,0.0775,0.0202
2016-05-03,00:00:00,10340,3946,33940.0000,3320,12130.0000,1152,0.2907,0.3211,0.2780,0.2919,0.0255,0.0120,39586.0000,3849,14555.0000,1377,0.3390,0.3722,0.3336,0.3490,0.0663,0.0193
2016-05-04,00:00:00,10359,5003,34997.0000,3417,16764.0000,1595,0.3005,0.3299,0.3032,0.3188,0.0272,0.0159,40328.0000,3914,19919.0000,1872,0.3463,0.3778,0.3603,0.3742,0.0615,0.0244
2016-05-05,00:00:00,10554,6098,34615.0000,3391,22005.0000,2063,0.2902,0.3213,0.3208,0.3383,0.0254,0.0158,40554.0000,3937,25262.0000,2356,0.3399,0.3730,0.3683,0.3864,0.0620,0.0311
2016-05-06,00:00:00,9541,6262,30207.0000,2988,21279.0000,2016,0.2811,0.3132,0.3036,0.3219,0.0236,0.0161,34997.0000,3459,25019.0000,2354,0.3257,0.3625,0.3570,0.3759,0.0520,0.0282
2016-05-07,00:00:00,5370,2738,12828.0000,1332,6935.0000,665,0.2126,0.2480,0.2287,0.2429,0.0154,0.0102,16261.0000,1654,8984.0000,862,0.2695,0.3080,0.2963,0.3148,0.0263,0.0141
2016-05-08,00:00:00,9691,4594,30771.0000,3064,14518.0000,1418,0.2815,0.3162,0.2881,0.3087,0.0246,0.0124,35881.0000,3557,17273.0000,1677,0.3282,0.3670,0.3428,0.3650,0.0602,0.0216
2016-05-09,00:00:00,12340,4995,43649.0000,4254,15877.0000,1528,0.3133,0.3447,0.2906,0.3059,0.0308,0.0134,49181.0000,4765,18959.0000,1821,0.3530,0.3861,0.3470,0.3646,0.0847,0.0232
2016-05-10,00:00:00,10212,4458,34828.0000,3398,14408.0000,1373,0.3019,0.3327,0.2917,0.3080,0.0285,0.0139,39899.0000,3869,16837.0000,1595,0.3458,0.3789,0.3409,0.3578,0.0624,0.0204
